geo,time,value,unit
Latvia,2007,2,kg per capita
Latvia,2008,3,kg per capita
Latvia,2009,1,kg per capita
Latvia,2010,2,kg per capita
Latvia,2011,4,kg per capita
Latvia,2012,6,kg per capita
Latvia,2013,20,kg per capita
Latvia,2014,13,kg per capita
Latvia,2015,24,kg per capita
Latvia,2016,42,kg per capita
Latvia,2017,29,kg per capita
Latvia,2018,25,kg per capita
Latvia,2019,22,kg per capita
Lithuania,2000,0,kg per capita
Lithuania,2001,0,kg per capita
Lithuania,2002,0,kg per capita
Lithuania,2003,0,kg per capita
Lithuania,2004,3,kg per capita
Lithuania,2005,3,kg per capita
Lithuania,2006,3,kg per capita
Lithuania,2007,7,kg per capita
Lithuania,2008,5,kg per capita
Lithuania,2009,5,kg per capita
Lithuania,2010,6,kg per capita
Lithuania,2011,8,kg per capita
Lithuania,2012,17,kg per capita
Lithuania,2013,32,kg per capita
Lithuania,2014,41,kg per capita
Lithuania,2015,46,kg per capita
Lithuania,2016,104,kg per capita
Lithuania,2017,109,kg per capita
Lithuania,2018,131,kg per capita
Lithuania,2019,104,kg per capita
Luxembourg,2000,93,kg per capita
Luxembourg,2001,91,kg per capita
Luxembourg,2002,101,kg per capita
Luxembourg,2003,130,kg per capita
Luxembourg,2004,123,kg per capita
Luxembourg,2005,121,kg per capita
Luxembourg,2006,121,kg per capita
Luxembourg,2007,134,kg per capita
Luxembourg,2008,138,kg per capita
Luxembourg,2009,135,kg per capita
Luxembourg,2010,133,kg per capita
Luxembourg,2011,120,kg per capita
Luxembourg,2012,128,kg per capita
Luxembourg,2013,111,kg per capita
Luxembourg,2014,121,kg per capita
Luxembourg,2015,111,kg per capita
Luxembourg,2016,167,kg per capita
Luxembourg,2017,153,kg per capita
Luxembourg,2018,154,kg per capita
Luxembourg,2019,152,kg per capita
Hungary,2000,2,kg per capita
Hungary,2001,2,kg per capita
Hungary,2002,5,kg per capita
Hungary,2003,5,kg per capita
Hungary,2004,4,kg per capita
Hungary,2005,4,kg per capita
Hungary,2006,6,kg per capita
Hungary,2007,6,kg per capita
Hungary,2008,8,kg per capita
Hungary,2009,9,kg per capita
Hungary,2010,15,kg per capita
Hungary,2011,18,kg per capita
Hungary,2012,18,kg per capita
Hungary,2013,19,kg per capita
Hungary,2014,24,kg per capita
Hungary,2015,23,kg per capita
Hungary,2016,30,kg per capita
Hungary,2017,32,kg per capita
Hungary,2018,32,kg per capita
Hungary,2019,36,kg per capita
Malta,2000,50,kg per capita
Malta,2001,46,kg per capita
Malta,2002,24,kg per capita
Malta,2003,36,kg per capita
Malta,2004,32,kg per capita
Malta,2005,45,kg per capita
Malta,2006,70,kg per capita
Malta,2007,15,kg per capita
Malta,2008,0,kg per capita
Malta,2009,0,kg per capita
Malta,2010,0,kg per capita
Malta,2011,7,kg per capita
Malta,2012,12,kg per capita
Malta,2013,0,kg per capita
Malta,2014,0,kg per capita
Malta,2015,0,kg per capita
Malta,2016,0,kg per capita
Malta,2017,0,kg per capita
Malta,2018,0,kg per capita
Malta,2019,0,kg per capita
Netherlands,2000,145,kg per capita
Netherlands,2001,141,kg per capita
Netherlands,2002,147,kg per capita
Netherlands,2003,141,kg per capita
Netherlands,2004,147,kg per capita
Netherlands,2005,149,kg per capita
Netherlands,2006,142,kg per capita
