Year,Country,Country (Code),Attribute,Attribute (Code),Sector (NACE rev. 2),Sector (NACE rev. 2) (Code),Unit,Value
2017,Estonia,EE,Apparent labour productivity,V91110,Bioeconomy,bTOTC,1000 EUR per person,25.517726207134935
2017,Estonia,EE,Apparent labour productivity,V91110,Bioethanol,Bioeth,1000 EUR per person,39.54248366013072
2017,Estonia,EE,Apparent labour productivity,V91110,Fishing and Aquaculture,A03,1000 EUR per person,44.054054054054056
2017,Estonia,EE,Apparent labour productivity,V91110,Food,C10,1000 EUR per person,24.46736936532855
2017,Estonia,EE,Apparent labour productivity,V91110,"Food, beverage and tobacco",C10-12,1000 EUR per person,26.247054863682262
2017,Estonia,EE,Apparent labour productivity,V91110,Forestry,A02,1000 EUR per person,44.981949458483754
2017,Estonia,EE,Apparent labour productivity,V91110,Leather,bC15,1000 EUR per person,14.75004103571725
2017,Estonia,EE,Apparent labour productivity,V91110,Liquid biofuels,bFUEL,1000 EUR per person,39.54248366013072
2017,Estonia,EE,Apparent labour productivity,V91110,Paper,bC17,1000 EUR per person,25.829662261380328
2017,Estonia,EE,Apparent labour productivity,V91110,Rubber and bio-based plastics,bC22,1000 EUR per person,21.152023327747404
2017,Estonia,EE,Apparent labour productivity,V91110,Wood products,bC16,1000 EUR per person,28.488552397577337
2017,Estonia,EE,Apparent labour productivity,V91110,Wood products and furniture,bC16-bC31,1000 EUR per person,26.518326955051027
2017,Estonia,EE,Apparent labour productivity,V91110,Wooden furniture,bC31,1000 EUR per person,20.180381435609604
2017,Estonia,EE,Location Quotient,LQ_EU,Agriculture,A01,Ratio,0.5278337304371267
2017,Estonia,EE,Location Quotient,LQ_EU,Beverage,C11,Ratio,1.0323006193669058
2017,Estonia,EE,Location Quotient,LQ_EU,Bio-based chemicals (excluding biofuels),bchem,Ratio,0.1945874957933966
2017,Estonia,EE,Location Quotient,LQ_EU,"Bio-based chemicals, pharmaceuticals, plastics and rubber (excl. biofuels)",bCHEM,Ratio,0.2302341507224304
